order_id,user_id,order_dow,order_hour_of_day,days_since_prior_order,product_id,product_name,department,aisle,add_to_cart_order,reordered
1773,79,1,14,6,254,Tomatoes,Produce,Vegetables,5,1
1497,49,2,9,6,135,Whole Milk,Dairy,Milk,8,0
1226,139,0,4,28,242,Organic Avocado,Produce,Fresh Fruits,5,0
1854,46,3,16,9,287,Potato Chips,Snacks,Chips,8,0
1575,104,4,9,24,163,Tomatoes,Produce,Vegetables,3,1
1952,48,4,1,4,202,Tomatoes,Produce,Vegetables,3,0
1588,101,0,9,3,128,Butter,Dairy,Butter,6,1
1699,15,3,11,18,252,Brown Bread,Bakery,Bread,6,0
1868,30,5,17,25,276,Potato Chips,Snacks,Chips,6,1
1177,136,1,2,7,216,Onions,Produce,Vegetables,7,0
1004,59,4,6,24,205,Eggs,Dairy,Eggs,3,1
1774,16,4,4,14,232,Eggs,Dairy,Eggs,4,1
1651,143,1,11,19,229,Onions,Produce,Vegetables,2,1
1774,7,1,20,7,269,Whole Milk,Dairy,Milk,7,0
1275,28,2,9,9,246,Whole Milk,Dairy,Milk,7,1
1590,51,4,11,30,290,Orange Juice,Beverages,Juice,2,0
1518,106,3,0,16,287,Eggs,Dairy,Eggs,8,1
1000,26,1,5,11,228,Tomatoes,Produce,Vegetables,3,1
1346,130,5,17,15,274,Eggs,Dairy,Eggs,5,0
1597,58,5,10,17,172,Banana,Produce,Fresh Fruits,1,0
1801,141,3,7,22,263,Cheddar Cheese,Dairy,Cheese,7,1
1836,6,2,20,27,295,Potato Chips,Snacks,Chips,10,0
1200,17,6,17,15,110,Eggs,Dairy,Eggs,3,1
1590,63,4,12,18,227,Apples,Produce,Fresh Fruits,7,1
1006,10,2,5,11,139,Orange Juice,Beverages,Juice,7,0
1961,30,2,4,28,238,Potato Chips,Snacks,Chips,10,0
1626,2,5,22,18,195,Banana,Produce,Fresh Fruits,6,1
1882,83,4,1,14,206,Potato Chips,Snacks,Chips,9,0
1762,16,1,22,30,158,Apples,Produce,Fresh Fruits,2,1
1421,28,6,17,15,142,Greek Yogurt,Dairy,Yogurt,4,0
1677,1,3,5,15,273,Orange Juice,Beverages,Juice,2,1
1710,39,0,23,2,184,Whole Milk,Dairy,Milk,7,1
1110,40,0,1,14,161,Butter,Dairy,Butter,8,0
1360,112,3,23,16,108,Pasta,Pantry,Dry Goods,10,1
1509,46,0,14,14,190,Eggs,Dairy,Eggs,4,1
1770,84,0,1,11,214,Potato Chips,Snacks,Chips,9,1
1266,42,0,7,1,126,Organic Avocado,Produce,Fresh Fruits,4,1
1246,76,4,8,12,207,Whole Milk,Dairy,Milk,2,0
1951,49,3,11,17,210,Onions,Produce,Vegetables,8,1
1108,122,4,1,11,157,Chicken Breast,Meat,Poultry,9,0
1206,73,5,11,18,216,Greek Yogurt,Dairy,Yogurt,1,0
1302,34,3,13,7,296,Orange Juice,Beverages,Juice,4,0
1148,132,6,6,11,221,Brown Bread,Bakery,Bread,8,1
1927,83,6,12,26,189,Whole Milk,Dairy,Milk,1,0
1819,47,4,15,7,193,Eggs,Dairy,Eggs,2,1
1677,24,2,6,12,269,Organic Avocado,Produce,Fresh Fruits,1,1
1859,91,6,17,3,211,Whole Milk,Dairy,Milk,1,1
1280,89,2,11,9,107,Brown Bread,Bakery,Bread,8,0
1861,3,0,16,30,257,Pasta,Pantry,Dry Goods,5,0
1928,6,6,5,11,130,Onions,Produce,Vegetables,9,0
1570,81,1,20,2,270,Eggs,Dairy,Eggs,9,1
1070,46,4,16,12,214,Potato Chips,Snacks,Chips,5,0
1998,35,5,5,30,138,Eggs,Dairy,Eggs,7,0
1257,92,3,1,14,136,Tomatoes,Produce,Vegetables,5,1
1355,50,1,5,22,133,Orange Juice,Beverages,Juice,6,0
1590,27,6,5,2,191,Brown Bread,Bakery,Bread,10,1
1561,116,2,10,15,127,Greek Yogurt,Dairy,Yogurt,4,1
1185,16,1,23,24,112,Orange Juice,Beverages,Juice,7,0
1089,9,5,21,21,214,Cheddar Cheese,Dairy,Cheese,8,0
1911,31,0,23,4,120,Eggs,Dairy,Eggs,1,1
1278,89,4,1,15,105,Onions,Produce,Vegetables,5,0
1513,67,4,3,2,280,Greek Yogurt,Dairy,Yogurt,10,1
1874,13,3,15,26,212,Banana,Produce,Fresh Fruits,2,1
1450,67,0,1,24,106,Potato Chips,Snacks,Chips,9,0
1455,61,4,1,14,112,Pasta,Pantry,Dry Goods,9,1
1967,145,4,0,19,290,Apples,Produce,Fresh Fruits,5,1
1270,86,0,13,22,179,Onions,Produce,Vegetables,5,0
1519,49,1,19,17,286,Potato Chips,Snacks,Chips,3,0
1872,108,3,21,17,290,Onions,Produce,Vegetables,1,1
1597,91,5,20,26,286,Butter,Dairy,Butter,1,0
1113,115,4,4,1,241,Onions,Produce,Vegetables,9,1
1530,74,5,17,4,166,Orange Juice,Beverages,Juice,4,1
1538,144,0,6,21,183,Tomatoes,Produce,Vegetables,7,0
1510,88,5,9,17,235,Greek Yogurt,Dairy,Yogurt,10,1
1503,150,0,5,28,113,Whole Milk,Dairy,Milk,4,0
1776,100,0,6,8,243,Potato Chips,Snacks,Chips,1,0
1724,91,4,13,28,132,Pasta,Pantry,Dry Goods,1,0
1478,113,2,22,14,142,Cheddar Cheese,Dairy,Cheese,4,0
1080,141,4,3,9,174,Cheddar Cheese,Dairy,Cheese,1,1
1238,23,6,17,18,129,Potato Chips,Snacks,Chips,8,0
1938,127,0,22,25,268,Eggs,Dairy,Eggs,4,1
1179,30,5,16,3,261,Orange Juice,Beverages,Juice,10,1
1657,82,2,20,23,272,Whole Milk,Dairy,Milk,8,1
